ElapsedTime,Class1,Class2,Class3,Class4,BestClass
2.217566,13.89352,8.403307,34.07853,33.56913,1
2.234059,13.89352,8.403307,34.07853,33.56913,1
2.250909,13.89352,8.403307,34.07853,33.56913,1
2.267757,13.89352,8.403307,34.07853,33.56913,1
2.284606,13.89352,8.403307,34.07853,33.56913,1
2.302175,13.89352,8.403307,34.07853,33.56913,1
2.318306,13.89352,8.403307,34.07853,33.56913,1
2.335352,13.89352,8.403307,34.07853,33.56913,1
2.352322,13.89352,8.403307,34.07853,33.56913,1
2.369351,13.89352,8.403307,34.07853,33.56913,1
2.385701,13.89352,8.403307,34.07853,33.56913,1
2.403446,13.89352,8.403307,34.07853,33.56913,1
2.424619,13.89352,8.403307,34.07853,33.56913,1
2.442254,13.89352,8.403307,34.07853,33.56913,1
2.45832,13.89352,8.403307,34.07853,33.56913,1
2.475169,13.89352,8.403307,34.07853,33.56913,1
2.50193,13.89352,8.403307,34.07853,33.56913,1
2.519197,13.89352,8.403307,34.07853,33.56913,1
2.53563,13.89352,8.403307,34.07853,33.56913,1
2.55248,13.89352,8.403307,34.07853,33.56913,1
2.569328,13.89352,8.403307,34.07853,33.56913,1
2.586264,13.89352,8.403307,34.07853,33.56913,1
2.603244,13.89352,8.403307,34.07853,33.56913,1
2.619877,13.89352,8.403307,34.07853,33.56913,1
2.636725,13.89352,8.403307,34.07853,33.56913,1
2.656306,13.89352,8.403307,34.07853,33.56913,1
2.673289,16.49683,9.905134,36.70337,31.72171,1
2.690007,16.49683,9.905134,36.70337,31.72171,1
2.706856,16.49683,9.905134,36.70337,31.72171,1
2.724215,16.49683,9.905134,36.70337,31.72171,1
2.740568,16.49683,9.905134,36.70337,31.72171,1
2.757403,16.49683,9.905134,36.70337,31.72171,1
2.774273,16.49683,9.905134,36.70337,31.72171,1
2.791261,16.49683,9.905134,36.70337,31.72171,1
2.808227,16.49683,9.905134,36.70337,31.72171,1
2.825235,16.49683,9.905134,36.70337,31.72171,1
2.842249,16.49683,9.905134,36.70337,31.72171,1
2.858499,16.49683,9.905134,36.70337,31.72171,1
2.875347,16.49683,9.905134,36.70337,31.72171,1
2.892214,16.49683,9.905134,36.70337,31.72171,1
2.909219,16.49683,9.905134,36.70337,31.72171,1
2.926282,16.49683,9.905134,36.70337,31.72171,1
2.943298,16.49683,9.905134,36.70337,31.72171,1
2.959594,16.49683,9.905134,36.70337,31.72171,1
2.976443,16.49683,9.905134,36.70337,31.72171,1
3.000397,16.49683,9.905134,36.70337,31.72171,1
3.024579,16.49683,9.905134,36.70337,31.72171,1
3.043224,16.49683,9.905134,36.70337,31.72171,1
3.060074,16.49683,9.905134,36.70337,31.72171,1
3.07724,16.49683,9.905134,36.70337,31.72171,1
3.094178,16.49683,9.905134,36.70337,31.72171,1
3.110622,16.49683,9.905134,36.70337,31.72171,1
3.129113,16.49683,9.905134,36.70337,31.72171,1
3.145964,16.49683,9.905134,36.70337,31.72171,1
3.162813,16.49683,9.905134,36.70337,31.72171,1
3.179663,16.49683,9.905134,36.70337,31.72171,1
